1, zh, 1, 12, azbio_mandarin/AzBio_Mandarin_10DBSNR_List1_Sentence-12.wav, 我 知道 一家 很棒的 小店 一起 去吧
1, zh, 1, 1, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-01.wav, 火车站 有车 可以 直达 机场
1, zh, 1, 2, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-02.wav, 肺癌的 患病 率 依然 在 升高
1, zh, 1, 3, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-03.wav, 现在 很多 楼房 都 建有 地下室
1, zh, 1, 4, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-04.wav, 明天 最后 期限 得 加班了
1, zh, 1, 5, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-05.wav, 这家的 川菜 做得 很 地道
1, zh, 1, 6, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-06.wav, 主任 安排 低 年级 学生 打扫 操场
1, zh, 1, 7, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-07.wav, 那张 茶几的 设计 是 不 规则的
1, zh, 1, 8, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-08.wav, 我 很高兴 你们 俩 能 过来 参观
1, zh, 1, 9, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-09.wav, 这 餐馆 外地 有 分店
1, zh, 1, 10, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-10.wav, 电脑 是他 花费 最 多的 一样 东西
1, zh, 1, 11, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-11.wav, 孩子 眼巴巴地 望着 想要的 玩具
1, zh, 1, 13, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-13.wav, 你 比较 适合 圆领的 衬衫
1, zh, 1, 14, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-14.wav, 傍晚的 时候 会 有 人 来 换班
1, zh, 1, 15, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-15.wav, 爸爸 晚上 常常 陪 孩子 睡觉
1, zh, 1, 16, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-16.wav, 多数 人 一辈子 都 没有 你 这样的 福气
1, zh, 1, 17, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-17.wav, 你的 那些 故事 我 都 听说 过了
1, zh, 1, 18, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-18.wav, 长期 饮用 酒精 会 使 感觉 迟钝
1, zh, 1, 19, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-19.wav, 怎么 用 电话 打 国际 长途
1, zh, 1, 20, azbio_mandarin/AzBio_Mandarin_10dBSNR_List1_Sentence-20.wav, 他 今年 五十五 岁 看 却 很 年轻
1, zh, 2, 1, azbio_mandarin/AzBio_Mandarin_10dBSNR_List2_Sentence-01.wav, 这本 旧 书 是 从 别人 那里 淘来的
1, zh, 2, 2, azbio_mandarin/AzBio_Mandarin_10dBSNR_List2_Sentence-02.wav, 孩子们 戴着 动物 面具 游戏
1, zh, 2, 3, azbio_mandarin/AzBio_Mandarin_10dBSNR_List2_Sentence-03.wav, 我 站得 很 远 也能 听见 你的 声音
1, zh, 2, 4, azbio_mandarin/AzBio_Mandarin_10dBSNR_List2_Sentence-04.wav, 现在 很少 有人 会 寄 挂号信 了吧
1, zh, 2, 5, azbio_mandarin/AzBio_Mandarin_10dBSNR_List2_Sentence-05.wav, 我们 统一 一个 碰头的 地点
